Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,0.486,0.066,0.204,0.148,0.013,0.082,1
Alabama,0.47,0.068,0.199,0.161,0.02,0.082,1
Alaska,0.462,0.047,0.225,0.118,0.038,0.111,1
Arizona,0.467,0.058,0.19,0.17,0.013,0.102,1
Arkansas,0.422,0.06,0.25,0.163,0.012,0.093,1
California,0.47,0.064,0.278,0.121,0.008,0.059,1
Colorado,0.518,0.077,0.164,0.14,0.021,0.078,1
Connecticut,0.517,0.049,0.221,0.149,0.006,0.057,1
Delaware,0.485,0.05,0.188,0.19,0.018,0.069,1
District of Columbia,0.552,0.046,0.262,0.082,0.01,0.047,1
Florida,0.407,0.125,0.162,0.179,0.018,0.109,1
Georgia,0.483,0.077,0.169,0.131,0.02,0.12,1
Hawaii,0.508,0.049,0.197,0.17,0.043,0.033,1
Idaho,0.493,0.076,0.163,0.162,0.016,0.09,1
Illinois,0.539,0.052,0.187,0.149,0.005,0.068,1
Indiana,0.51,0.049,0.206,0.154,0.007,0.074,1
Iowa,0.522,0.056,0.193,0.163,0.009,0.057,1
Kansas,0.541,0.063,0.134,0.158,0.019,0.086,1
Kentucky,0.455,0.04,0.263,0.159,0.013,0.069,1
Louisiana,0.41,0.052,0.304,0.144,0.014,0.076,1
Maine,0.475,0.058,0.205,0.195,0.011,0.056,1
Maryland,0.536,0.059,0.189,0.136,0.018,0.062,1
Massachusetts,0.542,0.059,0.227,0.14,0.004,0.028,1
Michigan,0.503,0.05,0.225,0.167,0.005,0.05,1
Minnesota,0.544,0.056,0.18,0.159,0.008,0.053,1
Mississippi,0.426,0.068,0.238,0.153,0.018,0.097,1
Missouri,0.506,0.059,0.174,0.17,0.015,0.076,1
Montana,0.441,0.089,0.175,0.188,0.02,0.086,1
Nebraska,0.524,0.072,0.159,0.152,0.018,0.076,1
Nevada,0.473,0.055,0.191,0.15,0.018,0.114,1
New Hampshire,0.559,0.069,0.12,0.194,0.011,0.047,1
New Jersey,0.544,0.057,0.174,0.144,0.004,0.077,1
New Mexico,0.343,0.043,0.331,0.166,0.015,0.102,1
New York,0.466,0.054,0.291,0.135,0.004,0.049,1
North Carolina,0.465,0.069,0.2,0.156,0.024,0.086,1
North Dakota,0.544,0.093,0.127,0.156,0.02,0.06,1
Ohio,0.51,0.047,0.203,0.165,0.009,0.067,1
Oklahoma,0.442,0.058,0.213,0.152,0.018,0.117,1
Oregon,0.477,0.056,0.242,0.167,0.007,0.052,1
Pennsylvania,0.507,0.053,0.204,0.172,0.006,0.06,1
Rhode Island,0.494,0.055,0.241,0.154,0.007,0.048,1
South Carolina,0.451,0.076,0.187,0.176,0.02,0.091,1
South Dakota,0.5,0.101,0.13,0.164,0.025,0.079,1
Tennessee,0.482,0.069,0.184,0.152,0.017,0.097,1
Texas,0.475,0.077,0.148,0.115,0.017,0.168,1
Utah,0.594,0.104,0.102,0.109,0.009,0.083,1
Vermont,0.493,0.067,0.195,0.189,0.014,0.043,1
Virginia,0.525,0.049,0.159,0.156,0.043,0.068,1
Washington,0.532,0.05,0.192,0.144,0.017,0.065,1
West Virginia,0.458,0.03,0.248,0.195,0.01,0.059,1
Wisconsin,0.54,0.057,0.172,0.17,0.008,0.054,1
Wyoming,0.506,0.084,0.121,0.172,0.019,0.097,1
Puerto Rico,0.23,0.087,0.47,0.15,0.005,0.057,1
