Location,2008__Medicaid,2009__Medicaid,2010__Medicaid,2011__Medicaid,2012__Medicaid,2013__Medicaid,2014__Medicaid,2015__Medicaid,2016__Medicaid,2017__Medicaid,2018__Medicaid,2019__Medicaid,2021__Medicaid,2022__Medicaid,2023__Medicaid,2024__Medicaid
United States,0.13369,0.161254,0.169613,0.175593,0.17786,0.17798,0.19123,0.20419,0.2083458,0.205514,0.203846,0.197794,0.2105589,0.21155,0.212461,0.20445
Alabama,0.142762,0.176887,0.181158,0.183408,0.19242,0.1899,0.1942,0.20057,0.201428,0.206244,0.195321,0.194976,0.1920541,0.20823,0.206925,0.19871
Alaska,0.114007,0.144908,0.158752,0.157518,0.15319,0.13833,0.16329,0.19788,0.192866,0.220267,0.213177,0.212867,0.2570376,0.22834,0.229702,0.22455
Arizona,0.15312,0.194974,0.203566,0.206697,0.19497,0.18683,0.20467,0.21996,0.2345572,0.223113,0.223905,0.209859,0.2134949,0.20763,0.204454,0.18998
Arkansas,0.178993,0.204792,0.207328,0.210119,0.20713,0.21338,0.23908,0.25618,0.2665672,0.269622,0.272687,0.262463,0.2703701,0.27439,0.252574,0.24993
California,0.15239,0.177948,0.189678,0.196325,0.19907,0.20167,0.23133,0.26546,0.272257,0.264467,0.263108,0.253348,0.2648162,0.26786,0.271631,0.27795
Colorado,0.086873,0.116797,0.128251,0.137436,0.14597,0.14199,0.17027,0.19212,0.193676,0.196605,0.184908,0.16791,0.1851369,0.18155,0.187184,0.16444
Connecticut,0.116615,0.138019,0.151335,0.164918,0.17261,0.17386,0.19354,0.19638,0.202164,0.202996,0.206315,0.215407,0.2264328,0.22373,0.227225,0.22142
Delaware,0.138525,0.175893,0.192019,0.196359,0.20783,0.2029,0.18401,0.20467,0.1935385,0.179152,0.213844,0.203545,0.2055393,0.19364,0.216126,0.18831
District of Columbia,0.232654,0.272645,0.26567,0.266569,0.27069,0.27435,0.28884,0.26472,0.2853556,0.280634,0.276694,0.254774,0.2493034,0.2412,0.252283,0.26165
Florida,0.109662,0.145461,0.154923,0.165042,0.17394,0.17305,0.18161,0.18801,0.1899011,0.186015,0.180374,0.173552,0.1777547,0.1773,0.176994,0.16249
Georgia,0.132803,0.152286,0.159247,0.163831,0.17274,0.17016,0.18042,0.17841,0.1793199,0.173847,0.174446,0.172686,0.1800689,0.18327,0.188155,0.16904
Hawaii,0.108432,0.144114,0.149419,0.147976,0.17227,0.1624,0.16953,0.17914,0.1756243,0.175296,0.174571,0.176319,0.2036616,0.1965,0.210203,0.19658
Idaho,0.10336,0.136063,0.133817,0.147412,0.15615,0.15288,0.1518,0.16968,0.1680064,0.174517,0.165503,0.155669,0.201398,0.20429,0.18343,0.16291
Illinois,0.140839,0.169503,0.169073,0.179642,0.1769,0.17885,0.18915,0.2026,0.2031422,0.200067,0.18986,0.182018,0.1977583,0.20131,0.195342,0.1872
Indiana,0.117063,0.142795,0.148286,0.154387,0.15452,0.15518,0.15854,0.16914,0.178912,0.181211,0.176247,0.177044,0.1976961,0.20479,0.208441,0.20596
Iowa,0.119274,0.139949,0.155468,0.15368,0.1646,0.16535,0.17656,0.18163,0.1955843,0.18008,0.193881,0.194906,0.2001221,0.2063,0.204681,0.19304
Kansas,0.092764,0.116919,0.118634,0.13204,0.13338,0.13327,0.14409,0.13391,0.1389088,0.135104,0.140833,0.138539,0.1520938,0.14226,0.143978,0.13356
Kentucky,0.155842,0.183452,0.181101,0.191733,0.18466,0.18286,0.23399,0.25801,0.2670221,0.27114,0.264665,0.254974,0.289038,0.28252,0.279156,0.2631
Louisiana,0.180449,0.197034,0.215061,0.213554,0.22332,0.21556,0.2151,0.22668,0.2530032,0.28266,0.292851,0.292707,0.3201041,0.32421,0.322329,0.30398
Maine,0.197034,0.22988,0.228692,0.222719,0.23357,0.22543,0.21755,0.20007,0.1935959,0.181378,0.184382,0.199564,0.1947726,0.19654,0.214185,0.20512
Maryland,0.100433,0.125556,0.140454,0.144877,0.15029,0.15242,0.17368,0.17592,0.177645,0.17817,0.185045,0.187462,0.2026681,0.19801,0.189083,0.18922
