Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,161058000,21731900,67704800,49117800,4386100,27161700,331160300
Alabama,2347500,340000,992800,803800,100700,411400,4996100
Alaska,324200,33100,157600,82600,26700,77700,701800
Arizona,3454700,430800,1406300,1254900,97400,758000,7402000
Arkansas,1264600,180700,748800,487500,37100,277200,2996000
California,18144100,2480900,10729400,4660600,307900,2279200,38602300
Colorado,3008800,446300,954400,815000,124100,455100,5803800
Connecticut,1843000,175400,789300,532600,20400,203900,3564600
Delaware,496000,51200,192600,193900,18300,70900,1022900
District of Columbia,369600,31000,175100,55200,6700,31800,669200
Florida,9289700,2865800,3710800,4084900,405400,2480700,22837500
Georgia,5248700,840500,1837300,1422500,219700,1300500,10869200
Hawaii,698800,67200,270200,234100,58700,45500,1374400
Idaho,960900,149000,317500,314900,30600,175900,1948900
Illinois,6682400,646800,2322500,1844200,65800,844600,12406300
Indiana,3429300,332900,1386000,1034000,47000,500500,6729700
Iowa,1639300,175600,606300,513100,28000,178600,3140900
Kansas,1551300,180200,383100,454400,53200,246500,2868800
Kentucky,2026300,178200,1171000,708400,59400,307400,4450700
Louisiana,1825700,233900,1354800,639600,62400,340500,4456900
Maine,646400,79100,279400,265400,15400,76200,1361900
Maryland,3268500,358300,1155000,832700,110600,378600,6103600
Massachusetts,3739300,409000,1564300,966200,29900,190000,6898700
Michigan,4988300,492600,2234200,1660000,53700,491100,9919800
Minnesota,3086400,318200,1021500,901200,42500,298500,5668400
Mississippi,1211500,193600,677900,434700,50400,274700,2842700
Missouri,3071500,358100,1052700,1031800,88900,463700,6066700
Montana,489000,98300,194400,208300,22400,95800,1108300
Nebraska,1020900,139500,309100,296000,35100,148500,1949200
Nevada,1520500,175500,613900,481400,57900,367300,3216600
New Hampshire,763600,94700,163200,265000,15500,63800,1365900
New Jersey,5075900,530300,1620500,1341100,40000,722200,9329900
New Mexico,712500,88700,688900,344900,31900,211300,2078200
New York,9007900,1044100,5628600,2615400,85400,956800,19338200
North Carolina,4964300,740900,2137800,1670500,255900,916400,10685800
North Dakota,414100,70800,96300,118600,15400,45500,760600
Ohio,5905500,540900,2346200,1904300,102800,771300,11570900
Oklahoma,1749000,231300,842400,600700,72100,463900,3959400
Oregon,1998000,233000,1011400,698000,29400,217200,4186900
Pennsylvania,6400900,666200,2575000,2168500,74000,751900,12636500
Rhode Island,528300,59000,258000,164200,8000,51700,1069300
South Carolina,2394400,402900,994900,934400,105500,481200,5313200
South Dakota,446100,90000,116300,146600,22300,70500,891800
Tennessee,3398400,483100,1294400,1073500,120400,680700,7050500
Texas,14514800,2363700,4520600,3511200,521600,5124800,30556800
Utah,2039500,357000,350200,372700,32000,283700,3435000
Vermont,307700,41600,121400,118000,8600,26900,624300
Virginia,4446000,412900,1347300,1317800,363700,576300,8464000
Washington,4135500,389800,1492700,1116900,133100,505800,7773900
West Virginia,782700,51700,424400,333900,17100,100100,1709900
Wisconsin,3137000,329400,996800,989100,44400,313800,5810500
Wyoming,288700,48200,69400,98400,10900,55400,571000
Puerto Rico,731400,275500,1491900,476800,17300,180500,3173400
