"Title: Uninsured Rates for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2024"
"Location","Male","Female","Total",Footnotes
"United States","0.128","0.099","0.113","1"
"Alabama","0.139","0.112","0.125"
"Alaska","0.141","0.142","0.142"
"Arizona","0.154","0.122","0.138"
"Arkansas","0.146","0.115","0.131"
"California","0.098","0.068","0.083"
"Colorado","0.115","0.089","0.102"
"Connecticut","0.095","0.076","0.085"
"Delaware","0.116","0.073","0.094"
"District of Columbia","0.078","0.044","0.060"
"Florida","0.176","0.134","0.155"
"Georgia","0.182","0.150","0.165"
"Hawaii","0.055","0.039","0.047"
"Idaho","0.140","0.104","0.122"
"Illinois","0.111","0.086","0.099"
"Indiana","0.113","0.087","0.100"
"Iowa","0.092","0.070","0.081"
"Kansas","0.128","0.109","0.118"
"Kentucky","0.114","0.080","0.097"
"Louisiana","0.136","0.095","0.115"
"Maine","0.094","0.068","0.081"
"Maryland","0.103","0.068","0.085"
"Massachusetts","0.046","0.028","0.037"
"Michigan","0.086","0.057","0.071"
"Minnesota","0.083","0.063","0.073"
"Mississippi","0.158","0.126","0.142"
"Missouri","0.117","0.092","0.104"
"Montana","0.132","0.110","0.121"
"Nebraska","0.112","0.103","0.107"
"Nevada","0.171","0.138","0.155"
"New Hampshire","0.077","0.059","0.068"
"New Jersey","0.122","0.097","0.109"
"New Mexico","0.175","0.126","0.150"
"New York","0.088","0.054","0.071"
"North Carolina","0.140","0.105","0.122"
"North Dakota","0.083","0.072","0.078"
"Ohio","0.107","0.077","0.092"
"Oklahoma","0.185","0.138","0.161"
"Oregon","0.090","0.064","0.077"
"Pennsylvania","0.091","0.068","0.079"
"Rhode Island","0.087","0.044","0.066"
"South Carolina","0.152","0.113","0.132"
"South Dakota","0.109","0.110","0.110"
"Tennessee","0.150","0.123","0.136"
"Texas","0.231","0.202","0.216"
"Utah","0.122","0.090","0.106"
"Vermont","0.084","0.046","0.065"
"Virginia","0.107","0.080","0.093"
"Washington","0.105","0.077","0.091"
"West Virginia","0.105","0.077","0.091"
"Wisconsin","0.081","0.069","0.075"
"Wyoming","0.159","0.118","0.139"
"Puerto Rico","0.121","0.055","0.086"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic.  "
""
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type."
""
"Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only."
""
"*Rate*: In this case, the proportion of the population or subpopulation with no insurance."


Footnotes
"1. US total excludes Puerto Rico."
